name,quantity,batchNumber,expiryDate,costPrice,totalCost,sellingPrice
Caps Amoxicillin 250mg,1000caps,RTY89897,23-Jan,55,5500,100
Caps Duramox,200caps,R5t5,24-Jan,310,62000,500
Caps Flucamox 500mg,80caps,5647,22-Aug,275,110000,2000
caps gromocef 200mg,20caps,GRTB0384,23-Jan,1800,3600,3000
Caps Ampiclox 250/250mg,500caps,S37921017,24-Feb,115,57500,200
tabs Azithro (ZAHA)500mg,20doses,25673,23-Sep,4400,88000,7000
Tabs Azithro (ZAHA)250mg,10doses,8U675,23-Jul,5500,55000,8000
Trigan-D, 100tabs,56879,24-Feb,260,26000,500
myospaz,100tabs,HUY789,23-Jul,25-Mar,45000,700
Dazel kit,5doses,PA16240,23-Feb,12000,60000,18000
Caps Celecoxib 100mg (ZYCEL),30tabs- 100 tabs,4567AQW,23-Aug,2833,85000(26000) ,500
Caps Cloxacillin 250mg, 200caps,R5646657,22-Aug,85,17000,200
Caps Amoxiclav 625 (Clavulin),28tabs,TG5667,22-Aug,893,24000,1500
Caps Doxycycline 100mg,300caps,C13008,23-Jan,80,24000,150
Caps Fluconazole 200mg, 40caps,SW9876,23-Apr,800,27000,1200
Caps Indomethacin 25mg,200caps,453rh,23-Dec,55,11000,100
Caps Lansoprazole 30mg,100caps,GLAH20010,22-May,300,30000,500
Caps Loperamide,200caps,R5647,23-Dec,35,7000,100
Caps NAT B,30caps,IC24B1,23-Mar,550,29600,1000
Caps Neuroton,30tabs,IC2365,23-Feb,433,13000,700
Caps Omeprazole 20mg (OCID),300caps,G100231,24-Feb,44,13200,100
Caps Pantoprazole 40mg(PANTOP-D),150caps,PDC112001,22-Oct,380,57000,500
Caps Pregabaline 75mg (Ligaba),60caps,57654478,23-Apr,987,29600,1500
Caps Limzer,40caps,T678,24-May,625,50000,1000
Caps Pregnacare,30caps,PRW2046AA,23-May,900,27000,1500
Caps Tranexamic acid 500mg (kepron),200tabs,FT5648,23-Feb,200,40000,500
Cream Aciclovir 5% 5g india,5tubes,68679,23-May,1600,8000,3000
 Cream Beterderm-N,5tubes,U8796,23-Aug,2700,13500,4000
Cream Sulphur,5tubes,65799,23-Jun,1400,7000,3000
Cream clonem,5tubes,8799,23-Jun,1600,8000,3000
Cream Candiderm 15g,5tubes,79690,23-Apr,5000,25000,7000
Cream Gynazole Vaginal Cream,3tubes,5667,23-May,16000,48000,23000
Drez V gel,3,W5667,23-Apr,8000,24000,12000
Cream Hydrocortisone 1%(15g),5tubes,AW5646,23-Mar,6000,30000,9000
